id;geslacht;item1;item2;item3;item4;item5;item6;item7;item8;item9;item10;item11;item12
497;2;3;1;4;2;3;4;4;1;4;4;2;4
498;1;5;2;4;4;5;3;4;2;5;4;4;5
499;2;2;4;3;2;4;2;2;1;3;4;2;3
500;1;4;3;5;4;3;2;2;4;5;2;3;4
501;2;2;3;2;4;3;3;4;1;3;3;3;2
502;1;2;1;2;3;2;2;3;1;4;2;4;1
503;2;2;2;2;2;2;2;2;4;3;3;3;1
504;1;1;2;4;1;1;1;1;1;2;2;1;1
505;1;3;3;2;4;4;1;1;2;3;3;3;4
506;2;3;2;3;4;2;3;4;3;3;1;3;3
507;1;3;2;2;4;4;2;1;4;3;3;2;3
508;2;3;4;3;2;3;2;4;3;3;3;2;1
509;2;3;4;4;3;2;4;4;1;4;4;4;3
510;2;1;2;2;2;1;3;2;2;3;1;2;2
511;2;5;3;5;5;5;2;4;3;2;3;4;2
512;2;4;4;3;2;4;2;2;2;4;4;2;2
513;1;1;1;1;1;2;3;1;1;2;1;2;1
514;1;1;2;1;3;2;1;1;1;3;1;1;1
515;2;4;4;4;4;5;2;2;4;2;3;3;3
516;2;2;2;1;2;3;2;2;2;3;4;1;3
517;2;2;3;2;2;1;3;3;3;4;2;3;1
518;1;3;2;4;2;2;4;2;3;4;2;3;3
519;2;3;3;4;4;4;3;2;4;1;1;2;2
520;2;5;2;5;2;5;2;4;4;2;5;2;4
521;1;4;5;3;3;4;3;2;2;4;2;5;4
522;1;2;1;1;2;3;3;1;3;1;1;2;2
523;1;3;3;4;3;2;4;3;2;2;2;3;3
524;2;2;2;1;3;2;1;1;1;4;1;3;3
525;2;4;2;4;4;3;4;4;3;3;3;3;3
526;2;2;4;2;3;3;4;4;2;4;3;1;3
527;1;3;3;2;2;2;3;3;2;4;3;2;3
528;1;2;2;2;2;2;4;1;4;4;3;4;1
529;2;3;4;4;3;2;2;4;2;4;2;3;2
530;2;5;3;2;3;4;2;4;3;2;2;3;3
531;1;1;3;4;3;2;1;1;2;1;1;1;3
532;2;4;4;2;2;3;2;2;3;5;2;2;3
533;1;3;2;1;3;3;4;3;4;3;2;4;1
534;2;2;2;1;1;2;1;1;4;2;3;1;1
535;1;2;4;4;3;2;3;4;2;3;3;1;4
536;2;3;2;4;3;3;4;3;4;4;2;4;3
537;1;5;5;3;4;3;4;4;3;5;3;4;5
538;1;1;1;2;1;3;3;1;1;2;1;2;2
539;1;5;5;4;4;4;4;4;2;3;3;3;4
540;2;5;2;4;2;5;4;4;4;4;4;5;4
541;2;5;3;5;2;4;2;2;3;5;3;2;4
542;2;2;4;2;4;3;3;1;4;2;2;2;3
543;1;2;3;3;4;4;2;1;4;3;3;3;4
544;2;5;3;3;2;3;4;3;5;4;3;4;3
545;2;1;2;1;1;1;4;1;3;2;2;3;3
546;2;4;3;2;4;4;2;3;4;5;3;4;4
547;2;4;2;4;2;5;4;3;3;4;4;2;4
548;2;5;3;5;5;4;3;3;2;5;5;3;3
549;2;5;3;4;4;4;3;3;4;2;4;5;5
550;1;1;3;1;1;2;4;3;3;2;1;1;1
551;2;5;3;4;2;3;4;4;2;2;4;3;3
552;2;4;4;2;2;2;4;3;4;5;4;3;3
553;1;1;2;2;3;3;2;2;3;2;4;1;3
554;2;5;2;3;3;3;3;2;2;4;2;4;4
555;2;1;2;3;3;1;4;2;3;3;4;3;1
556;2;5;4;4;5;4;4;2;3;4;2;4;4
557;1;1;3;3;3;4;3;1;1;2;4;2;2
558;1;4;4;3;4;5;2;5;4;4;2;2;5
559;2;4;2;4;4;3;2;2;3;2;3;2;4
560;2;3;3;1;1;4;3;2;2;1;2;2;3
561;2;5;4;4;3;2;3;3;3;2;4;3;3
562;2;3;2;3;3;4;3;2;2;4;3;4;2
563;1;1;1;3;3;3;2;2;1;3;4;1;1
564;1;1;3;3;4;2;4;3;2;3;3;3;3
565;1;1;3;3;3;3;1;1;3;3;1;1;3
566;2;3;4;3;2;1;2;4;2;2;4;2;2
567;1;1;3;1;2;1;2;2;1;1;3;1;1
568;1;4;3;3;4;3;5;2;4;3;5;3;4
569;1;4;5;2;2;3;2;4;2;3;3;2;4
570;1;1;4;1;2;3;3;3;4;2;2;1;2
571;1;1;3;4;1;3;3;1;2;3;2;1;2
572;2;2;3;3;3;3;4;1;2;2;2;4;4
573;2;4;2;2;4;2;5;2;2;5;3;3;3
574;1;4;4;2;3;2;4;4;2;4;4;2;3
575;1;1;3;1;3;2;2;2;2;1;3;1;1
576;2;5;2;2;2;3;4;5;4;2;3;4;4
577;1;1;3;2;3;3;2;3;4;1;2;2;2
578;2;3;3;4;4;4;2;4;3;2;3;4;2
579;2;5;4;3;2;4;2;4;3;2;4;2;4
580;2;4;4;2;2;3;4;3;4;4;2;4;2
581;2;2;3;3;1;3;3;2;2;2;2;1;4
582;1;3;1;1;2;2;4;4;4;2;4;1;4
583;2;5;4;2;3;3;4;2;3;4;2;4;5
584;2;2;2;1;3;3;3;4;2;3;4;2;3
585;1;3;3;4;3;2;2;3;2;3;3;2;1
586;1;4;3;2;3;2;3;3;2;2;5;5;2
587;1;3;4;4;4;3;2;3;4;2;2;1;2
588;1;2;1;1;3;3;3;4;1;4;1;1;1
589;2;5;3;3;4;4;2;4;3;5;2;5;4
590;1;4;2;3;4;2;4;2;3;2;3;3;4
591;2;5;3;4;3;3;2;5;4;5;5;3;2
592;1;4;3;5;4;5;3;5;4;4;4;3;3
593;1;1;2;1;1;2;3;3;1;2;1;3;3
594;2;1;3;1;2;1;3;1;4;2;1;3;3
595;1;1;1;3;1;3;4;4;1;3;1;1;3
596;1;3;4;3;2;2;3;3;4;4;2;3;4
597;1;1;4;1;3;3;3;3;3;3;2;2;3
598;2;5;5;4;3;5;5;3;2;2;3;5;4
599;2;1;2;1;3;1;3;3;1;2;1;1;2
600;1;2;2;3;2;1;2;4;2;4;2;3;1
601;1;1;1;2;3;2;3;2;1;1;3;3;2
602;2;4;2;4;4;4;2;3;2;4;4;3;4
603;2;3;3;3;2;2;3;1;4;2;4;3;2
604;1;3;4;1;4;1;3;3;3;2;4;3;3
605;2;1;2;1;3;3;1;3;1;1;3;1;3
606;2;5;5;3;4;4;3;4;4;3;2;2;2
607;2;2;1;4;2;2;1;4;3;2;3;2;4
608;1;3;2;4;1;4;3;1;4;2;1;4;3
