"","folder","name","question","Item Type","Section","Type","Program","Language","Level","ID","SectionShort","date"
"2786","Inferential_Statistics/uu-Multiple-linear-regression-812-nl","uu-Multiple-linear-regression-812-nl","  
Een student aan de universiteit van London heeft data verzameld onder zijn medestudenten. Hij wil een model maken om de lengte van studenten te voorspellen (gemeten in inches, VB: 1,70 m = 67 inches) aan de hand van de lengte van hun ouders, hun sekse (male = 0, female = 1) en hun positie binnen het gezin. Deel van de SPSS data en de SPSS output staan hieronder.
![](uu-Multiple-linear-regression-812-nl-tabel.jpg)
De student wil proberen het aantal predictoren in het model te reduceren en vergelijkt het eerdere model met het model met alleen de lengtes van de ouders in het model. Nog een deel van de SPSS output staat hieronder. 
![](uu-Multiple-linear-regression-812-nl-tabel2.jpg)
![](uu-Multiple-linear-regression-812-nl-tabel3.jpg)
Welk model zou de student uiteindelijk moeten gebruiken om voorspellingen mee te maken? Gebruik hiervoor alle informatie in de output hierboven èn op de vorige pagina. 
  
Answerlist
----------
* predicted height = b0 + b1×momheigh + b2×dadheigh + b3×gender + b4×position
* predicted height = b0 + b1×momheigh + b2×dadheigh + b3×gender
* predicted height = b0 + b1×momheigh + b2×dadheigh 
* predicted height = b0 + b1×dadheigh 
","schoice","Inferential Statistics/Regression/Multiple linear regression","Interpretating output","SPSS","Dutch","Statistical Literacy","19fd2","Inferential Statistics/Multiple linear regression","2026-01-12"
"2787","Inferential_Statistics/uu-Multiple-linear-regression-813-en","uu-Multiple-linear-regression-813-en","A student at the University of London has collected data among his fellow students. He wants to create a model to predict students' height (measured in inches, VB: 1.70 m = 67 inches) based on their parents' height, their sex (male = 0, female = 1) and their position within the family.
The student wants to try to reduce the number of predictors in the model and compares the previous model with the model with only the parents' heights in the model. Of this model, the conditions were also checked. One of the graphs is shown below.
![](uu-Multiple-linear-regression-813-nl-tabel.jpg)
Which statement is correct about the observation to which the arrow is attached? 
Answerlist
----------
* This observation ensures that the homoscedasticity condition is not met and should be removed without question.
* This student is much shorter in real life than we predict using this model.
* We predict this student to be much shorter than the student is in real life.
* This observation is an Outlier and therefore the condition that the residuals are normally distributed is not met. 
","schoice","Inferential Statistics/Regression/Multiple linear regression","Interpretating output","SPSS","English","Statistical Literacy","60c7c","Inferential Statistics/Multiple linear regression","2026-01-12"
"2788","Inferential_Statistics/uu-Multiple-linear-regression-813-nl","uu-Multiple-linear-regression-813-nl","Een student aan de universiteit van London heeft data verzameld onder zijn medestudenten. Hij wil een model maken om de lengte van studenten te voorspellen (gemeten in inches, VB: 1,70 m = 67 inches) aan de hand van de lengte van hun ouders, hun sekse (male = 0, female = 1) en hun positie binnen het gezin. 
De student wil proberen het aantal predictoren in het model te reduceren en vergelijkt het eerdere model met het model met alleen de lengtes van de ouders in het model. 
Van dit model zijn ook de voorwaarden gecontroleerd. Een van de grafieken staat hieronder.
![](uu-Multiple-linear-regression-813-nl-tabel.jpg)
Welke uitspraak is correct over de observatie waar de pijl bij staat?
  
Answerlist
----------
* Deze observatie zorgt ervoor dat er niet voldaan is aan de homoscedasticiteit voorwaarde en moet zondermeer verwijderd worden.
* Deze student is in het echt veel minder lang dan dat we voorspellen aan de hand van dit model. 
* We voorspellen deze student veel minder lang dan dat de student in het echt is.
* Deze observatie is een uitschieter en daarom is er niet voldaan aan de voorwaarde dat de residuen normaal verdeeld zijn. 
","schoice","Inferential Statistics/Regression/Multiple linear regression","Interpretating output","SPSS","Dutch","Statistical Literacy","d278e","Inferential Statistics/Multiple linear regression","2026-01-12"
"2789","Inferential_Statistics/uu-Multiple-linear-regression-814-en","uu-Multiple-linear-regression-814-en","  
To predict the number of homicides (per year in a given area), a model is sought by a criminologist. Data were collected over the past few years on the following variables:
murders/homicides: the number of murders per 100,000 
permits: the number of gun permits of inhabitants issued that year 
unemployed: unemployment rate 
police: the number of full-time police officers per 100,000 population 
workers: indication of the number of minimum wage workers 
registrations: the number of guns registered
First, a regression model is proposed with homicides as the dependent variable and all other variables as predictors. Two of the 5 variables are found to be not significant in this model. The criminologist would like to compare the two models. Part of the SPSS output is shown below.

![](uu-Multiple-linear-regression-814-nl-tabel.jpg)
What do we know about the value of the percent explained variance of the model with all five predictors? 
Answerlist
----------
* $R^2$ < 0.975
* $R^2$ = 0.975
* $R^2$ > 0.975
* Unknown
","schoice","Inferential Statistics/Regression/Multiple linear regression","Interpretating output","SPSS","English","Statistical Literacy","f0d3a","Inferential Statistics/Multiple linear regression","2026-01-12"
"2790","Inferential_Statistics/uu-Multiple-linear-regression-814-nl","uu-Multiple-linear-regression-814-nl","  
Om het aantal moorden (per jaar in een bepaald gebied) te kunnen voorspellen wordt door een criminoloog een model gezocht. Er zijn over de afgelopen jaren data verzameld over de volgende variabelen:
moorden het aantal moorden per 100.000 inwoners
vergunning het aantal wapenvergunningen verstrekt dat jaar
werkeloos werkeloosheidspercentage
politie het aantal fulltime politieagenten per 100.000 inwoners
arbeiders indicatie van het aantal minimumloon arbeiders
registraties het aantal geregistreerde wapens
Eerst wordt er een regressie model voorgesteld met moorden als afhankelijke variabele en alle andere variabelen als predictoren. Twee van de 5 variabelen blijken niet significant in dit model. De criminoloog wil graag de twee modellen vergelijken. Een deel van de SPSS output staat hieronder.

![](uu-Multiple-linear-regression-814-nl-tabel.jpg)
Wat weten we over de waarde van het percentage verklaarde variantie van het model met alle vijf de predictoren?
  
Answerlist
----------
* $R^2$ < 0.975 
* $R^2$ = 0.975
* $R^2$ > 0.975 
* onbekend
","schoice","Inferential Statistics/Regression/Multiple linear regression","Interpretating output","SPSS","Dutch","Statistical Literacy","26f10","Inferential Statistics/Multiple linear regression","2026-01-12"
"2791","Inferential_Statistics/uu-multiple-linear-regression-815-en","uu-multiple-linear-regression-815-en","A social science researcher cycles 20 kilometers to work every day. For six months, she measures the time it takes her to get to work and finds that it varies quite a bit. She thinks she can predict her daily arrival time by measuring the temperature in degrees, determining the wind strength, and determining the wind direction (up or down). Which analysis does the researcher choose?

  
Answerlist
----------
* ANOVA for repeated measures
* ANCOVA
* Multiple regression analysis with a dummy
* Two-way ANOVA
","schoice","Inferential Statistics/Regression/Multiple linear regression","Case",NA,"English","Statistical Literacy","a1d06","Inferential Statistics/Multiple linear regression","2026-01-12"
"2792","Inferential_Statistics/uu-multiple-linear-regression-815-nl","uu-multiple-linear-regression-815-nl","  
Wat is de nulhypothese die wordt getest door de F-toets voor de algemene significantie van een meervoudig lineair regressiemodel? 
Answerlist
----------
* H0:$\beta$ = 0
* H0:b = 0
* H0:F = 0
* H0:$\rho$2 = 0   
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"Dutch","Statistical Literacy","3f34b","Inferential Statistics/Multiple linear regression","2026-01-12"
"2793","Inferential_Statistics/uu-multiple-linear-regression-816-en","uu-multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2794","Inferential_Statistics/uu-multiple-linear-regression-816-en","uu-multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2795","Inferential_Statistics/uu-multiple-linear-regression-816-en","uu-multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2796","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2797","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2798","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2799","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2800","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2801","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2802","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2803","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2804","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2805","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2806","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2807","Inferential_Statistics/uu-Multiple-linear-regression-816-en","uu-Multiple-linear-regression-816-en","Evaluate the following two statements about multiple regression analysis:
I. The measurement level of the dependent variable should be at least nominal. II. Predictors of ratio measurement level are unsuitable for use in a multiple regression.
Answerlist
----------
* I is correct, II is correct.
* I is not correct, II is correct.
* I is correct, II is not correct.
* I is not correct, II is not correct.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Conceptual",NA,"English","Statistical Literacy","9b240","Inferential Statistics/Multiple linear regression","2026-01-12"
"2808","Inferential_Statistics/uu-multiple-linear-regression-816-nl","uu-multiple-linear-regression-816-nl","  
College Hall is bezorgd dat een actief sociaal leven de academische prestaties van studenten zal verstoren. Om deze hypothese te testen, voert een onderzoeker een regressieanalyse uit. De afhankelijke variabele is de prestaties van studenten op het tentamen statistiek (percentage juiste antwoorden). De onafhankelijke variabelen zijn: aantal uren studie per week, leeftijd in jaren, hoofdvak (1) Geesteswetenschappen, 2) Wetenschappen, 3) Sociale Wetenschappen of 4) Andere), het persoonlijkheidskenmerk consciëntieusheid (op een 7-punts Likert-schaal) en het aantal feestjes dat per week wordt bezocht. Na het uitvoeren van een meervoudige regressieanalyse weet de onderzoeker niet zeker welke statistiek hij moet rapporteren aan College Hall om het relatieve belang van het aantal feestjes dat per week wordt bezocht als voorspeller van examenprestaties over te brengen. Kunnen jullie helpen? 
Answerlist
----------
* B
* Beta
* $R^2$
* P-waarde 
","schoice","Inferential Statistics/Regression/Multiple linear regression","Case",NA,"Dutch","Statistical Literacy","ea41f","Inferential Statistics/Multiple linear regression","2026-01-12"
"2809","Inferential_Statistics/uu-multiple-linear-regression-816-nl","uu-multiple-linear-regression-816-nl","  
College Hall is bezorgd dat een actief sociaal leven de academische prestaties van studenten zal verstoren. Om deze hypothese te testen, voert een onderzoeker een regressieanalyse uit. De afhankelijke variabele is de prestaties van studenten op het tentamen statistiek (percentage juiste antwoorden). De onafhankelijke variabelen zijn: aantal uren studie per week, leeftijd in jaren, hoofdvak (1) Geesteswetenschappen, 2) Wetenschappen, 3) Sociale Wetenschappen of 4) Andere), het persoonlijkheidskenmerk consciëntieusheid (op een 7-punts Likert-schaal) en het aantal feestjes dat per week wordt bezocht. Na het uitvoeren van een meervoudige regressieanalyse weet de onderzoeker niet zeker welke statistiek hij moet rapporteren aan College Hall om het relatieve belang van het aantal feestjes dat per week wordt bezocht als voorspeller van examenprestaties over te brengen. Kunnen jullie helpen? 
Answerlist
----------
* B
* Beta
* $R^2$
* P-waarde 
","schoice","Inferential Statistics/Regression/Multiple linear regression","Case",NA,"Dutch","Statistical Literacy","ea41f","Inferential Statistics/Multiple linear regression","2026-01-12"
"2810","Inferential_Statistics/uu-Multiple-linear-regression-816-nl","uu-Multiple-linear-regression-816-nl","  
College Hall is bezorgd dat een actief sociaal leven de academische prestaties van studenten zal verstoren. Om deze hypothese te testen, voert een onderzoeker een regressieanalyse uit. De afhankelijke variabele is de prestaties van studenten op het tentamen statistiek (percentage juiste antwoorden). De onafhankelijke variabelen zijn: aantal uren studie per week, leeftijd in jaren, hoofdvak (1) Geesteswetenschappen, 2) Wetenschappen, 3) Sociale Wetenschappen of 4) Andere), het persoonlijkheidskenmerk consciëntieusheid (op een 7-punts Likert-schaal) en het aantal feestjes dat per week wordt bezocht. Na het uitvoeren van een meervoudige regressieanalyse weet de onderzoeker niet zeker welke statistiek hij moet rapporteren aan College Hall om het relatieve belang van het aantal feestjes dat per week wordt bezocht als voorspeller van examenprestaties over te brengen. Kunnen jullie helpen? 
Answerlist
----------
* B
* Beta
* $R^2$
* P-waarde 
","schoice","Inferential Statistics/Regression/Multiple linear regression","Case",NA,"Dutch","Statistical Literacy","ea41f","Inferential Statistics/Multiple linear regression","2026-01-12"
"2811","Inferential_Statistics/uu-Multiple-linear-regression-816-nl","uu-Multiple-linear-regression-816-nl","  
College Hall is bezorgd dat een actief sociaal leven de academische prestaties van studenten zal verstoren. Om deze hypothese te testen, voert een onderzoeker een regressieanalyse uit. De afhankelijke variabele is de prestaties van studenten op het tentamen statistiek (percentage juiste antwoorden). De onafhankelijke variabelen zijn: aantal uren studie per week, leeftijd in jaren, hoofdvak (1) Geesteswetenschappen, 2) Wetenschappen, 3) Sociale Wetenschappen of 4) Andere), het persoonlijkheidskenmerk consciëntieusheid (op een 7-punts Likert-schaal) en het aantal feestjes dat per week wordt bezocht. Na het uitvoeren van een meervoudige regressieanalyse weet de onderzoeker niet zeker welke statistiek hij moet rapporteren aan College Hall om het relatieve belang van het aantal feestjes dat per week wordt bezocht als voorspeller van examenprestaties over te brengen. Kunnen jullie helpen? 
Answerlist
----------
* B
* Beta
* $R^2$
* P-waarde 
","schoice","Inferential Statistics/Regression/Multiple linear regression","Case",NA,"Dutch","Statistical Literacy","ea41f","Inferential Statistics/Multiple linear regression","2026-01-12"
"2812","Inferential_Statistics/uu-multiple-linear-regression-817-en","uu-multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2813","Inferential_Statistics/uu-multiple-linear-regression-817-en","uu-multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2814","Inferential_Statistics/uu-multiple-linear-regression-817-en","uu-multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2815","Inferential_Statistics/uu-Multiple-linear-regression-817-en","uu-Multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2816","Inferential_Statistics/uu-Multiple-linear-regression-817-en","uu-Multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2817","Inferential_Statistics/uu-Multiple-linear-regression-817-en","uu-Multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2818","Inferential_Statistics/uu-Multiple-linear-regression-817-en","uu-Multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2819","Inferential_Statistics/uu-Multiple-linear-regression-817-en","uu-Multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
"2820","Inferential_Statistics/uu-Multiple-linear-regression-817-en","uu-Multiple-linear-regression-817-en","A researcher wants to know the effect of the number of hours of FREE TIME per week on students' sense of HELLOW (questionnaire with scale of 0-20). However, the researcher also has reason to expect that STUDY RESULTS (insufficient, sufficient) may have an impact on this relationship.
In what way can the researcher best analyze whether the relationship between number of free hours per week and feeling of happiness is moderated by study results?
Answerlist
----------
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×BELIEF.
* Multiple regression analysis using as predictors FREE TIME, STUDY RESULTS and the interaction term STUDY RESULTS×FREE TIME.
* Hierarchical regression analysis where in model 1 TRUE is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
* Hierarchical regression analysis where in model 1 FREE TIME is included as a predictor and in model 2 STUDY RESULTS is added as a predictor.
","schoice","Inferential Statistics/Regression/Multiple linear regression","Test choice",NA,"English","Statistical Literacy","4c9fb","Inferential Statistics/Multiple linear regression","2026-01-12"
