[ERROR LOG: Thu Aug 24 16:41:59 2023]
[uva-elementary-probability-1014, html]  The following files cannot be found: Probability/uva-elementary-probability-1014/uva-elementary-probability-1014.Rmd.
[vufgb-bargraph-001-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/vufgb-bargraph-001-nl/vufgb-bargraph-001-nl.Rmd.
[uu-Summary Statistics-002-en-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-Summary Statistics-002-en/uu-Summary Statistics-002-en.Rmd.
[uu-Measures-of-Spread-800-nl-qti, qti]  no exsolution specified
[uu-Standard Deviation-001-en-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-Standard Deviation-001-en/uu-Standard Deviation-001-en.Rmd.
[uu-measures of spread-003-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-measures of spread-003-nl/uu-measures of spread-003-nl.Rmd.
[vufsw-zscore-1176-en-qti, qti]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-1176-en/vufsw-zscore-1176-en.Rmd.
[uu-Histogram-802-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-Histogram-802-nl/uu-Histogram-802-nl.Rmd.
[vufsw-zscore-0009-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-0009-nl/vufsw-zscore-0009-nl.Rmd.
[vufsw-zscore-0007-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-0007-nl/vufsw-zscore-0007-nl.Rmd.
[uu-Summary-Statistics-800-nl-qti, qti]  no exsolution specified
[uu-Summary Statistics-008-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-Summary Statistics-008-nl/uu-Summary Statistics-008-nl.Rmd.
[uu-Standard-Deviation-801-nl-qti, qti]  no exsolution specified
[uu-Frequency table-804-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-Frequency table-804-nl/uu-Frequency table-804-nl.Rmd.
[uu-Standard-Deviation-800-nl-qti, qti]  no exsolution specified
[uu-Standard Deviation-004-nl-qti, qti]  The following files cannot be found: Descriptive-statistics/uu-Standard Deviation-004-nl/uu-Standard Deviation-004-nl.Rmd.
[vufgb-logisticregression-018-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-logisticregression-018-nl/vufgb-logisticregression-018-nl.Rmd.
[vufgb-regression-003-en-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-regression-003-en/vufgb-regression-003-en.Rmd.
[vufgb-confidenceintervals-040-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-confidenceintervals-040-nl/vufgb-confidenceintervals-040-nl.Rmd.
[uu-Multiple-linear-regression-805-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-805-nl/uu-Multiple-linear-regression-805-nl.Rmd.
[vufgb-ancova-002-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-ancova-002-nl/vufgb-ancova-002-nl.Rmd.
[vufsw-residuals-1089-en-qti, qti]  The following files cannot be found: Inferential_Statistics/vufsw-residuals-1089-en/vufsw-residuals-1089-en.Rmd.
[uu-Factor loadings-016-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Factor loadings-016-nl/uu-Factor loadings-016-nl.Rmd.
[vufgb-multiplelinearregression-016-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-multiplelinearregression-016-nl/vufgb-multiplelinearregression-016-nl.Rmd.
[vufgb-mulit_level-020-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-mulit_level-020-nl/vufgb-mulit_level-020-nl.Rmd.
[vufgb-confidenceintervals-023-en-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-confidenceintervals-023-en/vufgb-confidenceintervals-023-en.Rmd.
[uva-oneway-anova-806-qti, qti]  The following files cannot be found: Inferential_Statistics/uva-oneway-anova-806/uva-oneway-anova-806.Rmd.
[vufgb-chisquaredforindependence-002-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-chisquaredforindependence-002-nl/vufgb-chisquaredforindependence-002-nl.Rmd.
[uu-explained variance-011-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-explained variance-011-nl/uu-explained variance-011-nl.Rmd.
[vufgb-oddsratio-009-nl-qti, qti]  single choice items must have exactly one correct solution
[uu-Oneway ANOVA-851-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Oneway ANOVA-851-nl/uu-Oneway ANOVA-851-nl.Rmd.
[uu-Explained variance-008-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Explained variance-008-nl/uu-Explained variance-008-nl.Rmd.
[uva-anova-f-test-807-qti, qti]  The following files cannot be found: Inferential_Statistics/uva-anova-f-test-807/uva-anova-f-test-807.Rmd.
[uu-Multiple-linear-regression-808-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-808-nl/uu-Multiple-linear-regression-808-nl.Rmd.
[uu-Scree plot-001-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Scree plot-001-nl/uu-Scree plot-001-nl.Rmd.
[uu-factor-analysis-032-nl-qti, qti]  the condition has length > 1
[uu-Multiple-linear-regression-807-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-807-nl/uu-Multiple-linear-regression-807-nl.Rmd.
[uu-Scree plot-007-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Scree plot-007-nl/uu-Scree plot-007-nl.Rmd.
[uu-Multiple-linear-regression-813-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-813-nl/uu-Multiple-linear-regression-813-nl.Rmd.
[uu-Multiple-linear-regression-803-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-803-nl/uu-Multiple-linear-regression-803-nl.Rmd.
[uu-Confidence-level-802-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Confidence-level-802-nl/uu-Confidence-level-802-nl.Rmd.
[vufsw-multiplelinearregression-0275-nl-qti, qti]  single choice items must have exactly one correct solution
[uu-Multiple-linear-regression-804-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-804-nl/uu-Multiple-linear-regression-804-nl.Rmd.
[vufgb-multiplelinearregression-008-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-multiplelinearregression-008-nl/vufgb-multiplelinearregression-008-nl.Rmd.
[uu-Factor loadings-004-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Factor loadings-004-nl/uu-Factor loadings-004-nl.Rmd.
[uu-Compontent correlation matrix-012-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Compontent correlation matrix-012-nl/uu-Compontent correlation matrix-012-nl.Rmd.
[uu-Multiple-linear-regression-806-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-806-nl/uu-Multiple-linear-regression-806-nl.Rmd.
[uu-Oneway ANOVA-850-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Oneway ANOVA-850-nl/uu-Oneway ANOVA-850-nl.Rmd.
[uu-Exploratory factor analysis-800-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Exploratory factor analysis-800-nl/uu-Exploratory factor analysis-800-nl.Rmd.
[uu-Dummies-801-en-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Dummies-801-en/uu-Dummies-801-en.Rmd.
[uu-Type-I-error-802-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Type-I-error-802-nl/uu-Type-I-error-802-nl.Rmd.
[uu-Compontent correlation matrix-023-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Compontent correlation matrix-023-nl/uu-Compontent correlation matrix-023-nl.Rmd.
[vufsw-simplelinearregression-0219-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufsw-simplelinearregression-0219-nl/vufsw-simplelinearregression-0219-nl.Rmd.
[vufgb-multiplelinearregression-002-en-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-multiplelinearregression-002-en/vufgb-multiplelinearregression-002-en.Rmd.
[uu-compontent correlation matrix-002-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-compontent correlation matrix-002-nl/uu-compontent correlation matrix-002-nl.Rmd.
[vufsw-ttest-1006-en-qti, qti]  The following files cannot be found: Inferential_Statistics/vufsw-ttest-1006-en/vufsw-ttest-1006-en.Rmd.
[uu-Confidence-level-803-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Confidence-level-803-nl/uu-Confidence-level-803-nl.Rmd.
[uu-Compontent correlation matrix-024-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Compontent correlation matrix-024-nl/uu-Compontent correlation matrix-024-nl.Rmd.
[uu-Factor loadings-001-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Factor loadings-001-nl/uu-Factor loadings-001-nl.Rmd.
[vufsw-tstatistic-1165-en-qti, qti]  The following files cannot be found: Inferential_Statistics/vufsw-tstatistic-1165-en/vufsw-tstatistic-1165-en.Rmd.
[vufgb-suppression-001-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-suppression-001-nl/vufgb-suppression-001-nl.Rmd.
[uu-Dummies-800-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Dummies-800-nl/uu-Dummies-800-nl.Rmd.
[vufsw-mediation-0268-nl-qti, qti]  single choice items must have exactly one correct solution
[uu-Power-601-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-Power-601-nl/uu-Power-601-nl.Rmd.
[uu-mediation-804-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/uu-mediation-804-nl/uu-mediation-804-nl.Rmd.
[vufgb-mulitlevel_analysis-019-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufgb-mulitlevel_analysis-019-nl/vufgb-mulitlevel_analysis-019-nl.Rmd.
[vufsw-twowayanova-0271-nl-qti, qti]  The following files cannot be found: Inferential_Statistics/vufsw-twowayanova-0271-nl/vufsw-twowayanova-0271-nl.Rmd.
[uu-Factor loadings-016-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Factor loadings-016-nl/uu-Factor loadings-016-nl.Rmd.
[uu-explained variance-011-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-explained variance-011-nl/uu-explained variance-011-nl.Rmd.
[uu-Explained variance-008-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Explained variance-008-nl/uu-Explained variance-008-nl.Rmd.
[uu-Scree plot-001-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Scree plot-001-nl/uu-Scree plot-001-nl.Rmd.
[uu-factor-analysis-032-nl-qti, qti]  the condition has length > 1
[uu-Scree plot-007-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Scree plot-007-nl/uu-Scree plot-007-nl.Rmd.
[uu-Factor loadings-004-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Factor loadings-004-nl/uu-Factor loadings-004-nl.Rmd.
[uu-Compontent correlation matrix-012-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Compontent correlation matrix-012-nl/uu-Compontent correlation matrix-012-nl.Rmd.
[uu-Exploratory factor analysis-800-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Exploratory factor analysis-800-nl/uu-Exploratory factor analysis-800-nl.Rmd.
[uu-Compontent correlation matrix-023-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Compontent correlation matrix-023-nl/uu-Compontent correlation matrix-023-nl.Rmd.
[uu-compontent correlation matrix-002-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-compontent correlation matrix-002-nl/uu-compontent correlation matrix-002-nl.Rmd.
[uu-Compontent correlation matrix-024-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Compontent correlation matrix-024-nl/uu-Compontent correlation matrix-024-nl.Rmd.
[uu-Factor loadings-001-nl-qti, qti]  The following files cannot be found: Factor-analysis/uu-Factor loadings-001-nl/uu-Factor loadings-001-nl.Rmd.
[uu-Continuous variable-001-nl-qti, qti]  The following files cannot be found: Variable-type/uu-Continuous variable-001-nl/uu-Continuous variable-001-nl.Rmd.
[vufsw-cronbachsalpha-0090-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-0090-nl/vufsw-cronbachsalpha-0090-nl.Rmd.
[vufsw-cronbachsalpha-0026-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-0026-nl/vufsw-cronbachsalpha-0026-nl.Rmd.
[uu-reliability-022-nl-qti, qti]  the condition has length > 1
[vufsw-cronbachsalpha-0070-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-0070-nl/vufsw-cronbachsalpha-0070-nl.Rmd.
[vufsw-cronbachsalpha-1248-en-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-1248-en/vufsw-cronbachsalpha-1248-en.Rmd.
[uu-reliability-021-nl-qti, qti]  the condition has length > 1
[uu-reliability-019-nl-qti, qti]  the condition has length > 1
[vufsw-cronbachsalpha-0044-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-0044-nl/vufsw-cronbachsalpha-0044-nl.Rmd.
[vufsw-cronbachsalpha-1186-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-1186-nl/vufsw-cronbachsalpha-1186-nl.Rmd.
[uu-reliability-020-nl-qti, qti]  the condition has length > 1
[vufsw-cronbachsalpha-0051-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-0051-nl/vufsw-cronbachsalpha-0051-nl.Rmd.
[vufsw-cronbachsalpha-1122-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-1122-nl/vufsw-cronbachsalpha-1122-nl.Rmd.
[vufsw-cronbachsalpha-0025-nl-qti, qti]  The following files cannot be found: Reliability/vufsw-cronbachsalpha-0025-nl/vufsw-cronbachsalpha-0025-nl.Rmd.
[uu-reliability-023-nl-qti, qti]  the condition has length > 1
[uva-elementary-probability-1014-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1014/uva-elementary-probability-1014.Rmd.
[uva-elementary-probability-951-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-951/uva-elementary-probability-951.Rmd.
[uva-multiplication-rule-651-tv, tv]  The following files cannot be found: Probability/uva-multiplication-rule-651/uva-multiplication-rule-651.Rmd.
[uva-multiplication-rule-657-tv, tv]  The following files cannot be found: Probability/uva-multiplication-rule-657/uva-multiplication-rule-657.Rmd.
[uva-union-688-tv, tv]  The following files cannot be found: Probability/uva-union-688/uva-union-688.Rmd.
[uva-conditional-probability-917-tv, tv]  The following files cannot be found: Probability/uva-conditional-probability-917/uva-conditional-probability-917.Rmd.
[uva-conditional-probability-687-tv, tv]  The following files cannot be found: Probability/uva-conditional-probability-687/uva-conditional-probability-687.Rmd.
[uva-addition-rule-654-tv, tv]  The following files cannot be found: Probability/uva-addition-rule-654/uva-addition-rule-654.Rmd.
[uva-elementary-probability-1013-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1013/uva-elementary-probability-1013.Rmd.
[uva-elementary-probability-1008-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1008/uva-elementary-probability-1008.Rmd.
[uva-expected-value-666-tv, tv]  The following files cannot be found: Probability/uva-expected-value-666/uva-expected-value-666.Rmd.
[uva-elementary-probability-1049-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1049/uva-elementary-probability-1049.Rmd.
[uva-elementary-probability-947-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-947/uva-elementary-probability-947.Rmd.
[uva-elementary-probability-1007-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1007/uva-elementary-probability-1007.Rmd.
[uva-elementary-probability-1011-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1011/uva-elementary-probability-1011.Rmd.
[uva-general-rules-1009-tv, tv]  The following files cannot be found: Probability/uva-general-rules-1009/uva-general-rules-1009.Rmd.
[uva-elementary-probability-1010-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1010/uva-elementary-probability-1010.Rmd.
[uva-elementary-probability-946-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-946/uva-elementary-probability-946.Rmd.
[uva-general-rules-656-tv, tv]  The following files cannot be found: Probability/uva-general-rules-656/uva-general-rules-656.Rmd.
[uva-expected-value-652-tv, tv]  The following files cannot be found: Probability/uva-expected-value-652/uva-expected-value-652.Rmd.
[uva-expected-value-653-tv, tv]  The following files cannot be found: Probability/uva-expected-value-653/uva-expected-value-653.Rmd.
[uva-rules-for-expected-values-655-tv, tv]  The following files cannot be found: Probability/uva-rules-for-expected-values-655/uva-rules-for-expected-values-655.Rmd.
[uva-general-rules-686-tv, tv]  The following files cannot be found: Probability/uva-general-rules-686/uva-general-rules-686.Rmd.
[uva-multiplication-rule-670-tv, tv]  The following files cannot be found: Probability/uva-multiplication-rule-670/uva-multiplication-rule-670.Rmd.
[uva-general-rules-765-tv, tv]  The following files cannot be found: Probability/uva-general-rules-765/uva-general-rules-765.Rmd.
[uva-elementary-probability-949-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-949/uva-elementary-probability-949.Rmd.
[uva-elementary-probability-668-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-668/uva-elementary-probability-668.Rmd.
[uva-elementary-probability-667-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-667/uva-elementary-probability-667.Rmd.
[uva-elementary-probability-1012-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1012/uva-elementary-probability-1012.Rmd.
[uva-expected-value-658-tv, tv]  The following files cannot be found: Probability/uva-expected-value-658/uva-expected-value-658.Rmd.
[uva-conditional-probability-918-tv, tv]  The following files cannot be found: Probability/uva-conditional-probability-918/uva-conditional-probability-918.Rmd.
[uva-general-rules-646-tv, tv]  The following files cannot be found: Probability/uva-general-rules-646/uva-general-rules-646.Rmd.
[uva-elementary-probability-952-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-952/uva-elementary-probability-952.Rmd.
[uva-expected-value-665-tv, tv]  The following files cannot be found: Probability/uva-expected-value-665/uva-expected-value-665.Rmd.
[uva-expected-value-763-tv, tv]  The following files cannot be found: Probability/uva-expected-value-763/uva-expected-value-763.Rmd.
[uva-general-rules-677-tv, tv]  The following files cannot be found: Probability/uva-general-rules-677/uva-general-rules-677.Rmd.
[uva-elementary-probability-1051-tv, tv]  The following files cannot be found: Probability/uva-elementary-probability-1051/uva-elementary-probability-1051.Rmd.
[uva-multiplication-rule-669-tv, tv]  The following files cannot be found: Probability/uva-multiplication-rule-669/uva-multiplication-rule-669.Rmd.
[uva-expected-value-648-tv, tv]  The following files cannot be found: Probability/uva-expected-value-648/uva-expected-value-648.Rmd.
[vufgb-levenestest-001-nl-tv, tv]  The following files cannot be found: Assumptions/vufgb-levenestest-001-nl/vufgb-levenestest-001-nl.Rmd.
[vufsw-assumptions-0331-nl-tv, tv]  single choice items must have exactly one correct solution
[uu-assumptions-002-nl-tv, tv]  The following files cannot be found: Assumptions/uu-assumptions-002-nl/uu-assumptions-002-nl.Rmd.
[uu-assumptions-012-nl-tv, tv]  The following files cannot be found: Assumptions/uu-assumptions-012-nl/uu-assumptions-012-nl.Rmd.
[uu-residual-plot-010-nl-tv, tv]  The following files cannot be found: Assumptions/uu-residual-plot-010-nl/uu-residual-plot-010-nl.Rmd.
[vufgb-levenestest-001-en-tv, tv]  The following files cannot be found: Assumptions/vufgb-levenestest-001-en/vufgb-levenestest-001-en.Rmd.
[uu-residual-plot-007-nl-tv, tv]  The following files cannot be found: Assumptions/uu-residual-plot-007-nl/uu-residual-plot-007-nl.Rmd.
[eur-descriptive-111-en-tv, tv]  The following files cannot be found: Descriptive-statistics/eur-descriptive-111-en/eur-descriptive-111-en.Rmd.
[uu-Standard Deviation-002-en-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Standard Deviation-002-en/uu-Standard Deviation-002-en.Rmd.
[eur-descriptive-113-en-tv, tv]  The following files cannot be found: Descriptive-statistics/eur-descriptive-113-en/eur-descriptive-113-en.Rmd.
[vufsw-zscore-0032-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-0032-nl/vufsw-zscore-0032-nl.Rmd.
[eur-descriptive-112-en-tv, tv]  The following files cannot be found: Descriptive-statistics/eur-descriptive-112-en/eur-descriptive-112-en.Rmd.
[vufgb-measuresofspread-001-nl -tv, tv]  The following files cannot be found: Descriptive-statistics/vufgb-measuresofspread-001-nl /vufgb-measuresofspread-001-nl .Rmd.
[uu-Standard-Deviation-805-nl-tv, tv]  no exsolution specified
[uu-Standard-Deviation-803-nl-tv, tv]  no exsolution specified
[uu-Standard Deviation-003-en-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Standard Deviation-003-en/uu-Standard Deviation-003-en.Rmd.
[vufgb-boxplot-002-nl-tv, tv]  no exsolution specified
[vufsw-zscore-0096-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-0096-nl/vufsw-zscore-0096-nl.Rmd.
[uu-Measures of Location-800-en-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Measures of Location-800-en/uu-Measures of Location-800-en.Rmd.
[vufgb-measuresofspread-001-en -tv, tv]  The following files cannot be found: Descriptive-statistics/vufgb-measuresofspread-001-en /vufgb-measuresofspread-001-en .Rmd.
[vufgb-bargraph-001-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/vufgb-bargraph-001-nl/vufgb-bargraph-001-nl.Rmd.
[uu-Summary Statistics-002-en-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Summary Statistics-002-en/uu-Summary Statistics-002-en.Rmd.
[uu-Measures-of-Spread-800-nl-tv, tv]  no exsolution specified
[uu-Standard Deviation-001-en-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Standard Deviation-001-en/uu-Standard Deviation-001-en.Rmd.
[uu-measures of spread-003-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-measures of spread-003-nl/uu-measures of spread-003-nl.Rmd.
[vufsw-zscore-1176-en-tv, tv]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-1176-en/vufsw-zscore-1176-en.Rmd.
[uu-Histogram-802-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Histogram-802-nl/uu-Histogram-802-nl.Rmd.
[vufsw-zscore-0009-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-0009-nl/vufsw-zscore-0009-nl.Rmd.
[vufsw-zscore-0007-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/vufsw-zscore-0007-nl/vufsw-zscore-0007-nl.Rmd.
[uu-Summary-Statistics-800-nl-tv, tv]  no exsolution specified
[uu-Summary Statistics-008-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Summary Statistics-008-nl/uu-Summary Statistics-008-nl.Rmd.
[uu-Standard-Deviation-801-nl-tv, tv]  no exsolution specified
[uu-Frequency table-804-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Frequency table-804-nl/uu-Frequency table-804-nl.Rmd.
[uu-Standard-Deviation-800-nl-tv, tv]  no exsolution specified
[uu-Standard Deviation-004-nl-tv, tv]  The following files cannot be found: Descriptive-statistics/uu-Standard Deviation-004-nl/uu-Standard Deviation-004-nl.Rmd.
[vufgb-logisticregression-018-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-logisticregression-018-nl/vufgb-logisticregression-018-nl.Rmd.
[vufgb-regression-003-en-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-regression-003-en/vufgb-regression-003-en.Rmd.
[vufgb-confidenceintervals-040-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-confidenceintervals-040-nl/vufgb-confidenceintervals-040-nl.Rmd.
[uu-Multiple-linear-regression-805-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-805-nl/uu-Multiple-linear-regression-805-nl.Rmd.
[vufgb-ancova-002-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-ancova-002-nl/vufgb-ancova-002-nl.Rmd.
[vufsw-residuals-1089-en-tv, tv]  The following files cannot be found: Inferential_Statistics/vufsw-residuals-1089-en/vufsw-residuals-1089-en.Rmd.
[uu-Factor loadings-016-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Factor loadings-016-nl/uu-Factor loadings-016-nl.Rmd.
[vufgb-multiplelinearregression-016-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-multiplelinearregression-016-nl/vufgb-multiplelinearregression-016-nl.Rmd.
[vufgb-mulit_level-020-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-mulit_level-020-nl/vufgb-mulit_level-020-nl.Rmd.
[vufgb-confidenceintervals-023-en-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-confidenceintervals-023-en/vufgb-confidenceintervals-023-en.Rmd.
[uva-oneway-anova-806-tv, tv]  The following files cannot be found: Inferential_Statistics/uva-oneway-anova-806/uva-oneway-anova-806.Rmd.
[vufgb-chisquaredforindependence-002-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-chisquaredforindependence-002-nl/vufgb-chisquaredforindependence-002-nl.Rmd.
[uu-explained variance-011-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-explained variance-011-nl/uu-explained variance-011-nl.Rmd.
[vufgb-oddsratio-009-nl-tv, tv]  single choice items must have exactly one correct solution
[uu-Oneway ANOVA-851-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Oneway ANOVA-851-nl/uu-Oneway ANOVA-851-nl.Rmd.
[uu-Explained variance-008-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Explained variance-008-nl/uu-Explained variance-008-nl.Rmd.
[uva-anova-f-test-807-tv, tv]  The following files cannot be found: Inferential_Statistics/uva-anova-f-test-807/uva-anova-f-test-807.Rmd.
[uu-Multiple-linear-regression-808-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-808-nl/uu-Multiple-linear-regression-808-nl.Rmd.
[uu-Scree plot-001-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Scree plot-001-nl/uu-Scree plot-001-nl.Rmd.
[uu-factor-analysis-032-nl-tv, tv]  the condition has length > 1
[uu-Multiple-linear-regression-807-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-807-nl/uu-Multiple-linear-regression-807-nl.Rmd.
[uu-Scree plot-007-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Scree plot-007-nl/uu-Scree plot-007-nl.Rmd.
[uu-Multiple-linear-regression-813-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-813-nl/uu-Multiple-linear-regression-813-nl.Rmd.
[uu-Multiple-linear-regression-803-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-803-nl/uu-Multiple-linear-regression-803-nl.Rmd.
[uu-Confidence-level-802-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Confidence-level-802-nl/uu-Confidence-level-802-nl.Rmd.
[vufsw-multiplelinearregression-0275-nl-tv, tv]  single choice items must have exactly one correct solution
[uu-Multiple-linear-regression-804-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/uu-Multiple-linear-regression-804-nl/uu-Multiple-linear-regression-804-nl.Rmd.
[vufgb-multiplelinearregression-008-nl-tv, tv]  The following files cannot be found: Inferential_Statistics/vufgb-multiplelinearregression-008-nl/vufgb-multiplelinearregression-008-nl.Rmd.
